Customer_ID,Age,Total_Spent,nb_purchases,recency,avg_basket,cat_Accessories,cat_Clothing,cat_Footwear,cat_Outerwear,Channel,cluster_kmeans,cluster_hc
2315,54,909.13,10,69,90.913,0.3,0.6,0.1,0.0,0,5,0
2121,19,2194.5,19,46,115.5,0.3157894736842105,0.2631578947368421,0.3684210526315789,0.05263157894736842,0,4,0
5549,59,6466.95,77,7,83.98636363636363,0.15584415584415584,0.5064935064935064,0.2597402597402597,0.07792207792207792,1,4,3
4055,29,720.45,11,115,65.49545454545455,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.09090909090909091,0,5,0
2027,44,208.4,4,17,52.1,0.5,0.25,0.25,0.0,0,0,0
3757,40,708.35,8,49,88.54375,0.125,0.5,0.125,0.25,0,5,0
5404,29,2407.85,20,22,120.3925,0.3,0.45,0.2,0.05,0,4,0
4492,18,2183.95,26,15,83.99807692307692,0.23076923076923078,0.4230769230769231,0.34615384615384615,0.0,0,4,0
2420,34,2001.0,14,4,142.92857142857142,0.35714285714285715,0.5,0.0,0.14285714285714285,1,2,4
5648,36,1930.45,21,65,91.92619047619048,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0,5,0
2633,24,202.0,3,678,67.33333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,1,1,2
2901,26,7335.05,73,3,100.48013698630137,0.2328767123287671,0.4931506849315068,0.1643835616438356,0.1095890410958904,0,4,3
3604,48,659.62,8,28,82.4525,0.25,0.625,0.125,0.0,1,2,1
4726,31,1810.8,17,6,106.51764705882353,0.17647058823529413,0.4117647058823529,0.35294117647058826,0.058823529411764705,1,2,4
5143,31,300.5,4,65,75.125,0.0,0.75,0.0,0.25,0,5,0
3047,18,2918.4,28,24,104.22857142857143,0.14285714285714285,0.5,0.25,0.10714285714285714,1,4,4
4535,18,415.0,5,42,83.0,0.0,1.0,0.0,0.0,0,5,1
2692,22,5566.0,58,5,95.96551724137932,0.2413793103448276,0.5,0.1724137931034483,0.08620689655172414,0,4,3
5878,18,3448.95,42,12,82.11785714285713,0.35714285714285715,0.3333333333333333,0.21428571428571427,0.09523809523809523,1,4,3
3211,36,3547.37,36,9,98.53805555555556,0.19444444444444445,0.3888888888888889,0.3611111111111111,0.05555555555555555,0,4,0
5276,18,5647.3,69,6,81.84492753623189,0.2463768115942029,0.463768115942029,0.21739130434782608,0.07246376811594203,0,4,3
5190,42,3138.9,30,20,104.63000000000001,0.16666666666666666,0.5,0.13333333333333333,0.2,0,4,0
4029,30,1039.0,8,9,129.875,0.125,0.5,0.375,0.0,0,5,0
3466,31,602.75,7,376,86.10714285714286,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0,5,2
2540,25,1680.0,27,32,62.22222222222222,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,1,2,4
3142,35,4822.5,58,7,83.14655172413794,0.1724137931034483,0.39655172413793105,0.27586206896551724,0.15517241379310345,0,4,3
5875,18,1973.5,22,11,89.70454545454545,0.2727272727272727,0.5454545454545454,0.09090909090909091,0.09090909090909091,0,4,0
5977,19,185.0,4,50,46.25,0.0,0.75,0.25,0.0,1,2,4
2265,29,6074.85,63,14,96.42619047619048,0.23809523809523808,0.4603174603174603,0.19047619047619047,0.1111111111111111,0,4,3
5292,40,431.25,4,220,107.8125,0.25,0.25,0.25,0.25,0,5,0
4894,24,3179.37,28,12,113.54892857142856,0.2857142857142857,0.39285714285714285,0.25,0.07142857142857142,0,4,0
2092,25,5341.9,58,6,92.10172413793103,0.25862068965517243,0.3793103448275862,0.29310344827586204,0.06896551724137931,0,4,3
4046,34,509.2,7,113,72.74285714285715,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0,5,0
3654,25,5132.77,54,25,95.0512962962963,0.24074074074074073,0.5370370370370371,0.18518518518518517,0.037037037037037035,1,4,3
2429,58,1941.45,26,4,74.67115384615384,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.0,1,2,4
5597,42,1093.4,11,14,99.4,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0,0,5,0
5920,35,579.0,5,82,115.8,0.0,0.6,0.2,0.2,0,5,0
3510,18,1910.0,21,51,90.95238095238095,0.38095238095238093,0.38095238095238093,0.14285714285714285,0.09523809523809523,1,2,4
3364,31,2401.2,27,63,88.93333333333332,0.25925925925925924,0.4074074074074074,0.25925925925925924,0.07407407407407407,0,4,0
5269,32,2356.95,23,8,102.47608695652173,0.30434782608695654,0.43478260869565216,0.17391304347826086,0.08695652173913043,1,4,4
5075,31,4484.62,45,69,99.65822222222222,0.15555555555555556,0.5111111111111111,0.2,0.13333333333333333,1,4,3
2020,43,1578.15,24,41,65.75625000000001,0.2916666666666667,0.4166666666666667,0.25,0.041666666666666664,1,2,4
4481,49,2058.4,25,26,82.336,0.24,0.36,0.2,0.2,0,4,0
2957,50,654.2,8,68,81.775,0.5,0.375,0.125,0.0,0,5,0
2033,27,5049.2,55,11,91.80363636363636,0.3090909090909091,0.4727272727272727,0.14545454545454545,0.07272727272727272,1,4,3
2860,51,1191.15,17,132,70.06764705882354,0.11764705882352941,0.4117647058823529,0.35294117647058826,0.11764705882352941,0,5,0
4967,25,2179.85,21,27,103.80238095238094,0.3333333333333333,0.42857142857142855,0.09523809523809523,0.14285714285714285,0,4,0
