Customer_ID,Churn,CLV,Age,Gender_Male,Tenure_Days,Recency,Frequency,Monetary,AOV,Pct_Online,N_Categories,N_Products,Avg_Basket_Qty,Avg_Discount,Avg_Days_Between,Share_Accessories,Share_Clothing,Share_Footwear,Share_Outerwear
3828,0,1165.3,36,0,634,50.0,7,1094.25,156.32142857142858,0.7142857142857143,3,6,2.7142857142857144,0.042857142857142864,49.5,0.07402330363262509,0.17934658441855153,0.7466301119488234,0.0
2732,0,65.0,31,0,361,12.0,2,100.0,50.0,0.5,1,2,1.0,0.0,260.0,0.0,1.0,0.0,0.0
5401,0,1913.25,33,1,600,5.0,25,2724.2,108.96799999999999,0.64,4,12,1.84,0.08399999999999999,13.583333333333334,0.24638425959914836,0.3318405403421188,0.1134277953160561,0.30834740474267675
4945,0,75.0,26,1,835,5.0,6,683.0,113.83333333333333,0.5,3,3,1.3333333333333333,0.10833333333333334,59.6,0.19765739385065886,0.07320644216691069,0.0,0.7291361639824304
2390,0,1202.5,21,1,135,45.0,1,150.0,150.0,1.0,1,1,2.0,0.0,45.0,0.0,1.0,0.0,0.0
3853,0,538.6,30,1,402,138.0,3,319.0,106.33333333333333,0.3333333333333333,2,3,2.3333333333333335,0.06666666666666665,52.5,0.0,0.7366771159874608,0.26332288401253917,0.0
3646,0,86.4,32,1,369,13.0,7,595.0,85.0,0.8571428571428571,3,6,2.0,0.049999999999999996,46.5,0.3226890756302521,0.534453781512605,0.0,0.14285714285714285
5283,0,1002.25,18,1,207,119.0,1,35.0,35.0,1.0,1,1,1.0,0.0,119.0,0.0,1.0,0.0,0.0
2382,0,110.0,46,0,371,24.0,2,238.0,119.0,0.5,2,2,2.5,0.0,241.0,0.5378151260504201,0.0,0.46218487394957986,0.0
2367,0,148.75,49,1,112,19.0,2,240.0,120.0,1.0,2,2,2.5,0.0,75.0,0.0,0.625,0.375,0.0
5227,0,1881.95,29,0,170,27.0,7,383.3,54.75714285714286,0.7142857142857143,3,6,1.4285714285714286,0.028571428571428564,21.166666666666668,0.07513696843203757,0.3769893034176885,0.5478737281502739,0.0
2850,0,698.5,44,1,131,51.0,2,225.0,112.5,0.0,1,1,1.5,0.0,55.0,0.0,1.0,0.0,0.0
5478,0,312.5,41,1,289,2.0,12,1129.6,94.13333333333333,0.5,4,9,1.5,0.05833333333333334,22.363636363636363,0.1784702549575071,0.15934844192634562,0.07436260623229463,0.5878186968838527
3166,0,610.25,43,0,317,19.0,2,148.5,74.25,0.5,2,2,1.0,0.15000000000000002,236.0,0.15151515151515152,0.0,0.0,0.8484848484848485
5139,0,2995.3,23,0,918,14.0,29,2191.05,75.55344827586208,0.6896551724137931,4,15,1.6206896551724137,0.09310344827586206,13.535714285714286,0.1544008580361014,0.6123776271650578,0.010953652358458273,0.22226786244038244
2671,0,832.5,24,0,774,90.0,2,361.5,180.75,1.0,2,2,2.5,0.025000000000000022,40.0,0.13278008298755187,0.0,0.8672199170124482,0.0
4245,0,102.5,39,1,198,93.0,2,175.0,87.5,1.0,2,2,1.0,0.0,77.0,0.0,0.0,0.5142857142857142,0.4857142857142857
3499,1,0.0,18,0,813,224.0,1,115.2,115.2,0.0,1,1,4.0,0.09999999999999998,224.0,1.0,0.0,0.0,0.0
3915,0,612.4,30,1,415,123.0,5,450.5,90.1,0.4,3,5,1.6,0.09,29.75,0.29966703662597116,0.5005549389567148,0.1997780244173141,0.0
4791,0,377.1,33,1,229,30.0,7,480.02,68.57428571428571,0.5714285714285714,3,6,1.2857142857142858,0.06431746031746031,33.0,0.3656514311903671,0.2593641931586184,0.0,0.37498437565101456
4645,0,2077.9700000000003,42,0,491,0.0,29,2239.35,77.21896551724137,0.6551724137931034,4,15,1.5517241379310345,0.055172413793103454,13.464285714285714,0.25042981222229665,0.3415053475338826,0.35447786187956326,0.053586978364257486
3361,0,194.0,20,0,399,89.0,5,530.0,106.0,0.4,3,5,1.6,0.0,64.0,0.0,0.33962264150943394,0.33962264150943394,0.32075471698113206
5317,0,273.0,36,0,586,103.0,6,1066.0,177.66666666666666,1.0,4,5,1.6666666666666667,0.016666666666666663,49.0,0.13133208255159476,0.06097560975609756,0.4699812382739212,0.33771106941838647
3868,0,3331.1,26,0,810,20.0,28,2334.0,83.35714285714286,0.6071428571428571,4,12,1.8928571428571428,0.05892857142857143,13.777777777777779,0.10646958011996573,0.5227077977720651,0.21658097686375322,0.15424164524421594
3103,0,511.5,27,0,154,63.0,1,28.0,28.0,1.0,1,1,1.0,0.0,63.0,0.0,0.0,1.0,0.0
2884,0,1175.93,40,1,876,68.0,4,661.0,165.25,0.25,3,3,2.25,0.09999999999999998,62.666666666666664,0.14523449319213314,0.20121028744326777,0.0,0.653555219364599
2531,0,551.0,35,0,524,42.0,11,1098.5,99.86363636363636,0.9090909090909091,4,9,2.1818181818181817,0.05454545454545454,34.7,0.23623122439690486,0.31770596267637685,0.13654984069185253,0.30951297223486574
4688,0,513.0,38,0,866,19.0,12,842.4,70.2,0.8333333333333334,3,8,1.6666666666666667,0.03333333333333335,30.90909090909091,0.19753086419753088,0.6956315289648624,0.10683760683760685,0.0
2016,0,536.0,39,1,526,37.0,3,624.0,208.0,0.3333333333333333,2,2,2.3333333333333335,0.0666666666666667,152.0,0.0,0.0,0.6346153846153846,0.36538461538461536
4394,0,300.0,37,0,88,19.0,1,25.0,25.0,0.0,1,1,1.0,0.0,19.0,0.0,1.0,0.0,0.0
2301,0,2485.63,30,1,726,13.0,17,2169.15,127.59705882352942,0.47058823529411764,4,11,1.8823529411764706,0.07058823529411766,22.9375,0.11248645782910356,0.18843786736740198,0.38835488555424935,0.31072078924924507
3297,0,3557.0,43,1,114,8.0,5,737.0,147.4,0.8,3,5,2.2,0.0,24.25,0.4233378561736771,0.21031207598371776,0.36635006784260515,0.0
4129,0,572.25,37,0,111,100.0,1,270.0,270.0,0.0,1,1,3.0,0.0,100.0,0.0,0.0,1.0,0.0
5630,0,307.0,32,0,661,127.0,5,561.88,112.376,0.8,3,5,2.2,0.029991111111111125,53.75,0.2471702142806293,0.32569231864455045,0.0,0.42713746707482025
5103,0,686.6,28,1,814,27.0,2,93.0,46.5,0.0,2,2,1.0,0.0,17.0,0.5161290322580645,0.4838709677419355,0.0,0.0
2364,0,534.5,29,0,250,10.0,4,417.25,104.3125,0.25,3,4,2.0,0.1,79.66666666666667,0.24505692031156381,0.35949670461354105,0.39544637507489516,0.0
3014,0,1156.12,20,0,205,30.0,5,460.4,92.08,0.6,1,2,1.8,0.08,28.75,0.0,0.0,1.0,0.0
3175,0,303.9,32,0,867,25.0,8,750.8,93.85,0.875,4,7,1.875,0.012499999999999997,46.0,0.2727757059136921,0.23308470964304742,0.15450186467767715,0.3396377197655834
5167,0,25.0,25,1,537,88.0,1,42.75,42.75,0.0,1,1,1.0,0.050000000000000044,88.0,0.0,1.0,0.0,0.0
5771,0,1135.25,18,1,205,46.0,2,283.0,141.5,1.0,2,2,2.5,0.04999999999999999,55.0,0.2226148409893993,0.7773851590106007,0.0,0.0
2717,0,673.5,30,0,885,23.0,14,1263.8,90.27142857142857,0.7142857142857143,3,11,1.6428571428571428,0.08214285714285714,27.923076923076923,0.31872131666402914,0.5360816584902675,0.14519702484570343,0.0
5333,0,85.5,22,0,477,50.0,2,50.5,25.25,1.0,2,2,1.0,0.07500000000000001,326.0,0.0,0.49504950495049505,0.504950495049505,0.0
4716,0,400.75,39,1,858,10.0,3,249.0,83.0,1.0,2,3,2.0,0.06666666666666665,133.5,0.0,0.7590361445783133,0.24096385542168675,0.0
